,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
0,Shoeshine,Vittorio De Sica,"['Sergio Amidei', 'Adolfo Franci', 'Cesare Giulio Viola', 'Cesare Zavattini']","['Giuseppe Amato', 'Paolo William Tamburella']","['Franco Interlenghi', 'Rinaldo Smordoni', 'Annielo Mele', 'Bruno Ortenzi', 'Emilio Cigoli']",Anchise Brizzi,Niccolò Lazzari,Alessandro Cicognini,ENIC,['27 April 1946'],93 minutes,Italy,Italian/English,93,1946-04-27,6.8,N/A,,"During a ride on the Staten Island Ferry, a young Wall Street investment banker and an old shoeshine man begin chatting and discussing their life philosophies.","Short, Comedy",Nominated for 1 Oscar. 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Monsieur Vincent,Maurice Cloche,"['Jean Anouilh', 'Jean Bernard-Luc']",Viscount George de la Grandiere,"['Pierre Fresnay', 'Aimé Clariond']",Claude Renoir,Jean Feyte,Jean-Jacques Grünenwald,"[""L'Alliance Générale de Distribution Cinématographique"", '(1947 French release)', 'Lopert Pictures', '(1948 US release)']",['5 November 1947'],111 min.,France,French,111,1947-11-05,7.0,N/A,,"St. Vincent de Paul struggles to bring about peace and harmony among the peasant and the nobles in the midst of the Black Death in Europe, carrying on his charitable work in the face of all obstacles.","Biography, Drama, History",Won 1 Oscar. 2 wins & 4 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bicycle Thieves,Vittorio De Sica,,"['Giuseppe Amato', 'Vittorio De Sica']","['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",Carlo Montuori,Eraldo Da Roma,Alessandro Cicognini,Ente Nazionale Industrie Cinematografiche,['24 November 1948 (Italy)'],89 minutes,Italy,Italian,89,1948-11-24,6.0,N/A,,"Losing his dad and mom at an early age, Kunchako (Asif Ali) lives with his relatives who dislikes him. Fed up with the life there, Kunchako leaves his home after stealing their bicycle.",Drama,N/A,"['Oreste Biancoli', ""Suso D'Amico"", 'Vittorio De Sica', 'Adolfo Franci', 'Gherardo Gherardi', 'Gerardo Guerrieri', 'Cesare Zavattini']",Cesare Zavattini,"['Bicycle Thieves', 'by', 'Luigi Bartolini']",Produzioni De Sica,"$133,000","$428,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The Walls of Malapaga,René Clément,"['Jean Aurenche', 'Pierre Bost', '(adaptation and dialogue)', 'Cesare Zavattini', ""Suso Cecchi d'Amico"", 'Alfredo Guarini', '(screenplay)']",Alfredo Guarini,"['Jean Gabin', 'Isa Miranda']",Louis Page,Mario Serandrei,Roman Vlad,"['MGM', '(1949 Italian release)', 'Films International', '(1950 US release)']","['France', ':', '16 November 1949', 'United States', ':', '26 March 1950']","['France: 95 mins', 'Italy', ': 104 minutes', 'United States: 89 minutes']",,,France:,,,,,,,,,,,,,"2,018,745 admissions (France)","['Italia Produzione', 'Francinex']","['France', 'Italy']","['French', 'Italian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rashomon,Akira Kurosawa,,Minoru Jingo,"['Toshiro Mifune', 'Machiko Kyō', 'Masayuki Mori', 'Takashi Shimura', 'Minoru Chiaki']",Kazuo Miyagawa,Akira Kurosawa,Fumio Hayasaka,Daiei Film,"['August 25, 1950']",88 minutes,Japan,Japanese,88,1950-08-25,7.0,N/A,,A looser adaptation of the same story that Kurosawa covered in his classic. Every player in the story has their own version of how a crime played out.,Drama,N/A,"['Akira Kurosawa', 'Shinobu Hashimoto']",,"['""', 'In a Grove', '""', 'by', 'Ryūnosuke Akutagawa']",Daiei Film,"$250,000","$96,568 (US)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Forbidden Games,René Clément,"['Jean Aurenche', 'Pierre Bost']",Robert Dorfmann,"['Georges Poujouly', 'Brigitte Fossey', 'Amédée']",Robert Juillard,Roger Dwyre,Narciso Yepes,"['Les Films Corona', 'Loew´s', '(USA)']","['9 May 1952 (France)', '8 December 1952 (USA)']",86 minutes,France,French,86,1952-05-09,4.4,N/A,,"When the head of a prominent modeling agency dies under suspicious circumstances, there are more than enough likely suspects - but no evidence. Michael Brandon, ex-Justice Department golden boy now on the skids, is hired to find the ","Crime, Drama, Thriller",N/A,,,"['Jeux interdits', 'by', 'François Boyer']",,,$36.8 million,"['Silver Films', 'Metro-Goldwyn-Mayer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jigokumon,Teinosuke Kinugasa,Teinosuke Kinugasa,Masaichi Nagata,"['Kazuo Hasegawa', 'Machiko Kyō']",Kōhei Sugiyama,Shigeo Nishida,Yasushi Akutagawa,Daiei Film,"['October 31, 1953']",86 minutes,Japan,Japanese,86,1953-10-31,7.2,N/A,100%,A samurai pursues a married lady-in-waiting.,"Drama, History",Won 2 Oscars. 7 wins & 1 nomination total,,,,Daiei Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Miyamoto Musashi,Hiroshi Inagaki,,Kazuo Takimura,"['Toshiro Mifune', 'Rentarō Mikuni', 'Kuroemon Onoe']",Jun Yasumoto,,Ikuma Dan,Toho,['26 September 1954 (Japan)'],93 minutes,Japan,Japanese,93,1954-09-26,7.5,N/A,85%,"Depicts the early life of the legendary warrior Musashi Miyamoto; his years as an aspiring warrior, an outlaw and finally a true samurai.","Action, Adventure, Biography",Won 1 Oscar. 1 win & 1 nomination total,"['Tokuhei Wakao', 'Hiroshi Inagaki']",,"['Miyamoto Musashi', 'by', 'Eiji Yoshikawa']",Toho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,La strada,Federico Fellini,,"['Dino De Laurentiis', 'Carlo Ponti']","['Giulietta Masina', 'Anthony Quinn', 'Richard Basehart']","['Otello Martelli', 'Carlo Carlini']",Leo Catozzo,Nino Rota,Paramount Pictures,"['6 September 1954 ( Venice )', '22 September 1954 (Italy)']",108 minutes,Italy,Italian,108,1954-09-06,8.0,N/A,98%,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama,Won 1 Oscar. 12 wins & 5 nominations total,"['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano']","['Federico Fellini', 'Tullio Pinelli']",,Ponti-De Laurentiis Cinematografica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,The Captain from Köpenick Der Hauptmann von Köpenick,Helmut Käutner,"['Helmut Käutner', 'Carl Zuckmayer', '(play)', 'Carl Zuckmayer', '(screenplay)']",Gyula Trebitsch (producer),"['Heinz Rühmann', 'Hannelore Schroth', 'Martin Held', 'Erich Schellow']",Albert Benitz,Klaus Dudenhöfer,Bernhard Eichhorn,"['Real-Film', 'Distributors Corporation of America', '(US)']",['16 August 1956'],93 minutes,West Germany,German,93,1956-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
